word	menukad	lex	unvocalized_lex	POS	Prefix	Gender	Number	Person	Status	Tense	Binyan	Suffix	Suf_Gender	Suf_Number	Suf_Person	fAramaic	no_pipe_menukad	no_prefix_menukad
שלו	שֶׁלּוֹ	שֶׁל	של	SHEL_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_3	False	שֶׁלּוֹ	שֶׁלּוֹ

ש|תסגור	שֶׁ|תִּסְגֹּר	סגר	סגר	VERB	RELATIVIZIER_SUBORDINATINGCONJUNCTION	FEMININE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	שֶׁתִּסְגֹּר	תִּסְגֹּר
איתו	אִתּוֹ	אֶת	את	AT_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_3	False	אִתּוֹ	אִתּוֹ
מעגל	מַעְגָּל	מַעֲגָל	מעגל	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	מַעְגָּל	מַעְגָּל

ל|כל	לְ|כׇל	כֹּל	כול	QUANTIFIER	PREPOSITION				CONSTRUCT							False	לְכׇל	כׇּל
אחת	אַחַת	אֶחָד	אחד	NUMERAL		FEMININE	SINGULAR		ABSOLUTECONSTRUCT							False	אַחַת	אַחַת
יש	יֵשׁ	יֵשׁ	יש	EXISTENTIAL												False	יֵשׁ	יֵשׁ
ת'אחד	תְּ'אַחֵד	אחד	אחד	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_PIEL					False	תְּ'אַחֵד	תְּאַחֵד
שלה	שֶׁלָּהּ	שֶׁל	של	SHEL_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_FEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_3	False	שֶׁלָּהּ	שֶׁלָּהּ

ש|יבוא	שֶׁ|יָּבוֹא	בוא	בוא	VERB	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	שֶׁיָּבוֹא	יָבוֹא
ו|יפול	וַ|יִּפֹּל	נפל	נפל	VERB	CONJUNCTION	MASCULINE	SINGULAR	PERSON_3		PAST	BINYAN_PAAL					False	וַיִּפֹּל	יִפֹּל
ב|גורל	בַּ|גּוֹרָל	גּוֹרָל	גורל	NOUN	DEFINITEARTICLE+PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	בַּגּוֹרָל	גּוֹרָל

כמו	כְּמוֹ	כְּמוֹ	כמו	PREPOSITION												False	כְּמוֹ	כְּמוֹ
בגד	בֶּגֶד	בֶּגֶד	בגד	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	בֶּגֶד	בֶּגֶד
ל|גוף	לְ|גוּף	גּוּף	גוף	NOUN	PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	לְגוּף	גּוּף

כמו	כְּמוֹ	כְּמוֹ	כמו	PREPOSITION												False	כְּמוֹ	כְּמוֹ
אויר	אֲוִיר	אֲוִיר	אוויר	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	אֲוִיר	אֲוִיר
ל|נשימה	לִ|נְשִׁימָה	נְשִׁימָה	נשימה	NOUN	PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	לִנְשִׁימָה	נְשִׁימָה

ו|בתוך	וּ|בְתוֹךְ	בְּתוֹךְ	בתוך	PREPOSITION	CONJUNCTION											False	וּבְתוֹךְ	בְּתוֹךְ
ה|טירוף	הַ|טֵּרוּף	טֵרוּף	טירוף	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַטֵּרוּף	טֵרוּף

הם	הֵם	הוּא	הוא	PRONOUN		MASCULINE	PLURAL	PERSON_3								False	הֵם	הֵם
מוצאים	מוֹצְאִים	מצא	מצא	VERB		MASCULINE	PLURAL	PERSON_ANY		PRESENT	BINYAN_PAAL					False	מוֹצְאִים	מוֹצְאִים
נחמה	נֶחָמָה	נֶחָמָה	נחמה	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	נֶחָמָה	נֶחָמָה

ו|את	וְ|אֶת	אֶת	את	AT_PREP	CONJUNCTION											False	וְאֶת	אֶת
ה|נשמה	הַ|נְּשָׁמָה	נְשָׁמָה	נשמה	NOUN	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הַנְּשָׁמָה	נְשָׁמָה
ה|מתוקה	הַ|מְּתוּקָה	מָתוֹק	מתוק	ADJECTIVE	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הַמְּתוּקָה	מְתוּקָה
שלי	שֶׁלִּי	שֶׁל	של	SHEL_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	שֶׁלִּי	שֶׁלִּי

ה|יחידה	הַ|יְּחִידָה	יָחִיד	יחיד	ADJECTIVE	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הַיְּחִידָה	יְחִידָה
ש|מדליקה	שֶׁ|מַּדְלִיקָה	דלק	דלק	VERB	RELATIVIZIER_SUBORDINATINGCONJUNCTION	FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_HIFIL					False	שֶׁמַּדְלִיקָה	מַדְלִיקָה
אותי	אוֹתִי	אֶת	את	AT_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	אוֹתִי	אוֹתִי

ו|איתך	וְ|אִתְּךָ	אֵת	את	NOUN	CONJUNCTION	MASCULINE	SINGULAR		ABSOLUTE			POSSESIVEPRONOUN	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	וְאִתְּךָ	אִתְּךָ
אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
כל	כׇּל	כֹּל	כול	QUANTIFIER					CONSTRUCT							False	כׇּל	כׇּל
ה|עולם	הָ|עוֹלָם	עוֹלָם	עולם	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הָעוֹלָם	עוֹלָם

ו|איתך	וְ|אִתְּךָ	אֵת	את	NOUN	CONJUNCTION	MASCULINE	SINGULAR		ABSOLUTE			POSSESIVEPRONOUN	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	וְאִתְּךָ	אִתְּךָ
אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
כל	כׇּל	כֹּל	כול	QUANTIFIER					CONSTRUCT							False	כׇּל	כׇּל
ה|יקום	הַ|יְּקוּם	יְקוּם	יקום	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַיְּקוּם	יְקוּם

בלעדייך	בִּלְעָדַיִךְ	בִּלְעֲדֵי	בלעדי	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_FEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	בִּלְעָדַיִךְ	בִּלְעָדַיִךְ
אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
חצי	חֲצִי	חֵצִי	חצי	NUMERAL		MASCULINE	SINGULAR		CONSTRUCT							False	חֲצִי	חֲצִי
בן	בֶּן	בֵּן	בן	NOUN		MASCULINE	SINGULAR		CONSTRUCT							False	בֶּן	בֶּן
אדם	אָדָם	אָדָם	אדם	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	אָדָם	אָדָם

בלעדייך	בִּלְעָדַיִךְ	בִּלְעֲדֵי	בלעדי	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_FEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	בִּלְעָדַיִךְ	בִּלְעָדַיִךְ
אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
בעצם	בְּעֶצֶם	עֶצֶם	עצם	ADVERB												False	בְּעֶצֶם	בְּעֶצֶם
כלום	כְּלוּם	כְּלוּם	כלום	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	כְּלוּם	כְּלוּם

ל|כל	לְ|כׇל	כֹּל	כול	QUANTIFIER	PREPOSITION				CONSTRUCT							False	לְכׇל	כׇּל
אחד	אֶחָד	אֶחָד	אחד	NUMERAL		MASCULINE	SINGULAR		ABSOLUTE							False	אֶחָד	אֶחָד
יש	יֵשׁ	יֵשׁ	יש	EXISTENTIAL												False	יֵשׁ	יֵשׁ
ת'חלום	תַּ'חֲלֹם	חלם	חלם	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_PAAL					False	תַּ'חֲלֹם	תַּחֲלֹם
שלו	שֶׁלּוֹ	שֶׁל	של	SHEL_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_3	False	שֶׁלּוֹ	שֶׁלּוֹ

ש|נדמה	שֶׁ|נִּדְמֶה	דמי	דמי	VERB	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_NIFAL					False	שֶׁנִּדְמֶה	נִדְמֶה
ו|הנה	וְ|הִנֵּה	הֵן	הן	INTERJECTION	CONJUNCTION											False	וְהִנֵּה	הִנֵּה
הוא	הוּא	הוּא	הוא	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	הוּא	הוּא
קרב	קֵרֵב	קרב	קרב	VERB		MASCULINE	SINGULAR	PERSON_3		PAST	BINYAN_PIEL					False	קֵרֵב	קֵרֵב

ל|כל	לְ|כׇל	כֹּל	כול	QUANTIFIER	PREPOSITION				CONSTRUCT							False	לְכׇל	כׇּל
אחת	אַחַת	אֶחָד	אחד	NUMERAL		FEMININE	SINGULAR		ABSOLUTECONSTRUCT							False	אַחַת	אַחַת
יש	יֵשׁ	יֵשׁ	יש	EXISTENTIAL												False	יֵשׁ	יֵשׁ
ת'חלום	תַּ'חֲלֹם	חלם	חלם	VERB		MASCULINE	SINGULAR	PERSON_2		FUTURE	BINYAN_PAAL					False	תַּ'חֲלֹם	תַּחֲלֹם
שלה	שֶׁלָּהּ	שֶׁל	של	SHEL_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_FEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_3	False	שֶׁלָּהּ	שֶׁלָּהּ

ש|יבוא	שֶׁ|יָּבוֹא	בוא	בוא	VERB	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINE	SINGULAR	PERSON_3		FUTURE	BINYAN_PAAL					False	שֶׁיָּבוֹא	יָבוֹא
ו|יסעיר	וְ|יַסְעִיר	סער	סער	VERB	CONJUNCTION	MASCULINE	SINGULAR	PERSON_3		FUTURE	BINYAN_HIFIL					False	וְיַסְעִיר	יַסְעִיר
את	אֶת	אֶת	את	AT_PREP												False	אֶת	אֶת
ה|לב	הַ|לֵּב	לֵב	לב	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַלֵּב	לֵב

כמו	כְּמוֹ	כְּמוֹ	כמו	PREPOSITION												False	כְּמוֹ	כְּמוֹ
מים	מַיִם	מַיִם	מים	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	מַיִם	מַיִם
ל|צמא	לְ|צָמָא	צָמָא	צמא	NOUN	PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	לְצָמָא	צָמָא

ו|ליאוש	וְ|לִיאֹשׁ	יאשׁ	יאשׁ	VERB	CONJUNCTION					TOINFINITIVE	BINYAN_PAAL					False	וְלִיאֹשׁ	לִיאֹשׁ
ה|תקווה	הַ|תִּקְוָה	תִּקְוָה	תקווה	NOUN	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הַתִּקְוָה	תִּקְוָה

וב|ים	וּבְ|יָם	יָם	ים	NOUN	CONJUNCTION+PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	וּבְיָם	יָם
של	שֶׁל	שֶׁל	של	SHEL_PREP												False	שֶׁל	שֶׁל
קרירות	קְרִירוּת	קְרִירוּת	קרירות	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	קְרִירוּת	קְרִירוּת

יש	יֵשׁ	יֵשׁ	יש	EXISTENTIAL												False	יֵשׁ	יֵשׁ
להם	לָהֶם	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_PLURAL	SUF_PERSON_3	False	לָהֶם	לָהֶם
אהבה	אַהֲבָה	אַהֲבָה	אהבה	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	אַהֲבָה	אַהֲבָה

ו|את	וְ|אֶת	אֶת	את	AT_PREP	CONJUNCTION											False	וְאֶת	אֶת
ה|נשמה	הַ|נְּשָׁמָה	נְשָׁמָה	נשמה	NOUN	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הַנְּשָׁמָה	נְשָׁמָה
ה|מתוקה	הַ|מְּתוּקָה	מָתוֹק	מתוק	ADJECTIVE	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הַמְּתוּקָה	מְתוּקָה
שלי	שֶׁלִּי	שֶׁל	של	SHEL_PREP								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	שֶׁלִּי	שֶׁלִּי
...	...			PUNCTUATION												False	...	...



#	#			PUNCTUATION												False	#	#
#	#			PUNCTUATION												False	#	#
#	#			PUNCTUATION												False	#	#
עד	עַד	עַד	עד	PREPOSITION												False	עַד	עַד
ה|קצה	הַ|קָּצֶה	קָצֶה	קצה	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַקָּצֶה	קָצֶה
/	/			PUNCTUATION												False	/	/
דנה	דָּנָה	דין	דין	VERB		FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	דָּנָה	דָּנָה
ברגר	בֶּרְגֶּר	בֶּרְגֶּר	ברגר	PROPERNAME												False	בֶּרְגֶּר	בֶּרְגֶּר

ו|עכשיו	וְ|עַכְשָׁו	עַכְשָׁו	עכשיו	ADVERB	CONJUNCTION											False	וְעַכְשָׁו	עַכְשָׁו
כש|אין	כְּשֶׁ|אֵין	אֵין	אין	NEGATION												False	כְּשֶׁאֵין	אֵין
שמיים	שָׁמַיִם	שָׁמַיִם	שמיים	NOUN		MASCULINE	DUAL		ABSOLUTE							False	שָׁמַיִם	שָׁמַיִם

רק	רַק	רַק	רק	ADVERB												False	רַק	רַק
עננים	עֲנָנִים	עֲנָנִי	ענני	ADJECTIVE		MASCULINE	PLURAL		ABSOLUTE							False	עֲנָנִים	עֲנָנִים
של	שֶׁל	שֶׁל	של	SHEL_PREP												False	שֶׁל	שֶׁל
חוסר	חֹסֶר	חֹסֶר	חוסר	NOUN		MASCULINE	SINGULAR		CONSTRUCT							False	חֹסֶר	חֹסֶר
ודאות	וַדָּאוּת	וַדָּאוּת	ודאות	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	וַדָּאוּת	וַדָּאוּת

ו|נדמה	וְ|נִדְמֶה	דמי	דמי	VERB	CONJUNCTION	MASCULINEFEMININE	PLURAL	PERSON_1		FUTURE	BINYAN_PAAL					False	וְנִדְמֶה	נִדְמֶה
ש|אין	שֶׁ|אֵין	אֵין	אין	NEGATION	RELATIVIZIER_SUBORDINATINGCONJUNCTION											False	שֶׁאֵין	אֵין
סיבה	סִבָּה	סִבָּה	סיבה	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	סִבָּה	סִבָּה
לחיות	לִחְיוֹת	חיי	חיי	VERB						TOINFINITIVE	BINYAN_PAAL					False	לִחְיוֹת	לִחְיוֹת

אם	אִם	אִם	אם	CONJUNCTION												False	אִם	אִם
אין	אֵין	אֵין	אין	NEGATION												False	אֵין	אֵין
סיבה	סִבָּה	סִבָּה	סיבה	NOUN		FEMININE	SINGULAR		ABSOLUTE							False	סִבָּה	סִבָּה
למות	לָמוּת	מות	מות	VERB						TOINFINITIVE	BINYAN_PAAL					False	לָמוּת	לָמוּת
.	.			PUNCTUATION												False	.	.

לפעמים	לִפְעָמִים	לִפְעָמִים	לפעמים	ADVERB												False	לִפְעָמִים	לִפְעָמִים
אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
פוחדת	פּוֹחֶדֶת	פחד	פחד	VERB		FEMININE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	פּוֹחֶדֶת	פּוֹחֶדֶת

להגיד	לְהַגִּיד	נגד	נגד	VERB						TOINFINITIVE	BINYAN_HIFIL					False	לְהַגִּיד	לְהַגִּיד
לך	לְךָ	לְ	ל	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINE	SUF_NUMBER_SINGULAR	SUF_PERSON_2	False	לְךָ	לְךָ
את	אֶת	אֶת	את	AT_PREP												False	אֶת	אֶת
ה|אמת	הָ|אֱמֶת	אֱמֶת	אמת	NOUN	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הָאֱמֶת	אֱמֶת

לפעמים	לִפְעָמִים	לִפְעָמִים	לפעמים	ADVERB												False	לִפְעָמִים	לִפְעָמִים
זה	זֶה	זֶה	זה	PRONOUN		MASCULINE	SINGULAR	PERSON_3								False	זֶה	זֶה
כמו	כְּמוֹ	כְּמוֹ	כמו	PREPOSITION												False	כְּמוֹ	כְּמוֹ
ה|סוף	הַ|סּוֹף	סוֹף	סוף	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַסּוֹף	סוֹף

נרדם	נִרְדָּם	רדם	רדם	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_NIFAL					False	נִרְדָּם	נִרְדָּם
ל|רגע	לְ|רֶגַע	רֶגַע	רגע	NOUN	PREPOSITION	MASCULINE	SINGULAR		ABSOLUTE							False	לְרֶגַע	רֶגַע
באמת	בֶּאֱמֶת	אֱמֶת	אמת	ADVERB												False	בֶּאֱמֶת	בֶּאֱמֶת
.	.			PUNCTUATION												False	.	.

עד	עַד	עַד	עד	PREPOSITION												False	עַד	עַד
ה|תהום	הַ|תְּהוֹם	תְּהוֹם	תהום	NOUN	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הַתְּהוֹם	תְּהוֹם
,	,			PUNCTUATION												False	,	,
עד	עַד	עַד	עד	PREPOSITION												False	עַד	עַד
ה|קצה	הַ|קָּצֶה	קָצֶה	קצה	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַקָּצֶה	קָצֶה

עד	עַד	עַד	עד	PREPOSITION												False	עַד	עַד
ש|ניפול	שֶׁ|נִּפֹּל	נפל	נפל	VERB	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINEFEMININE	PLURAL	PERSON_1		FUTURE	BINYAN_PAAL					False	שֶׁנִּפֹּל	נִפֹּל
ו|נתרצה	וְ|נִתְרַצָּה	רצי	רצי	VERB	CONJUNCTION	MASCULINE	SINGULAR	PERSON_3		PAST	BINYAN_HITPAEL					False	וְנִתְרַצָּה	נִתְרַצָּה

עד	עַד	עַד	עד	PREPOSITION												False	עַד	עַד
ש|זה	שֶׁ|זֶּה	זֶה	זה	PRONOUN	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINE	SINGULAR	PERSON_3								False	שֶׁזֶּה	זֶה
נגמר	נִגְמַר	גמר	גמר	VERB		MASCULINE	SINGULAR	PERSON_3		PAST	BINYAN_NIFAL					False	נִגְמַר	נִגְמַר

עד	עַד	עַד	עד	PREPOSITION												False	עַד	עַד
ש|זה	שֶׁ|זֶּה	זֶה	זה	PRONOUN	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINE	SINGULAR	PERSON_3								False	שֶׁזֶּה	זֶה
עבר	עָבַר	עבר	עבר	VERB		MASCULINE	SINGULAR	PERSON_3		PAST	BINYAN_PAAL					False	עָבַר	עָבַר

עד	עַד	עַד	עד	PREPOSITION												False	עַד	עַד
ה|תהום	הַ|תְּהוֹם	תְּהוֹם	תהום	NOUN	DEFINITEARTICLE	FEMININE	SINGULAR		ABSOLUTE							False	הַתְּהוֹם	תְּהוֹם
,	,			PUNCTUATION												False	,	,
עד	עַד	עַד	עד	PREPOSITION												False	עַד	עַד
ה|קצה	הַ|קָּצֶה	קָצֶה	קצה	NOUN	DEFINITEARTICLE	MASCULINE	SINGULAR		ABSOLUTE							False	הַקָּצֶה	קָצֶה

עד	עַד	עַד	עד	PREPOSITION												False	עַד	עַד
ש|ניפול	שֶׁ|נִּפֹּל	נפל	נפל	VERB	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINEFEMININE	PLURAL	PERSON_1		FUTURE	BINYAN_PAAL					False	שֶׁנִּפֹּל	נִפֹּל
ו|נתרצה	וְ|נִתְרַצָּה	רצי	רצי	VERB	CONJUNCTION	MASCULINE	SINGULAR	PERSON_3		PAST	BINYAN_HITPAEL					False	וְנִתְרַצָּה	נִתְרַצָּה

עד	עַד	עַד	עד	PREPOSITION												False	עַד	עַד
ש|זה	שֶׁ|זֶּה	זֶה	זה	PRONOUN	RELATIVIZIER_SUBORDINATINGCONJUNCTION	MASCULINE	SINGULAR	PERSON_3								False	שֶׁזֶּה	זֶה
נגמר	נִגְמַר	גמר	גמר	VERB		MASCULINE	SINGULAR	PERSON_3		PAST	BINYAN_NIFAL					False	נִגְמַר	נִגְמַר

אני	אֲנִי	אֲנִי	אני	PRONOUN		MASCULINEFEMININE	SINGULAR	PERSON_1								False	אֲנִי	אֲנִי
כאן	כָּאן	כָּאן	כאן	ADVERB												False	כָּאן	כָּאן
ו|אתה	וְ|אַתָּה	אֲנִי	אני	PRONOUN	CONJUNCTION	MASCULINE	SINGULAR	PERSON_2								False	וְאַתָּה	אַתָּה
שם	שָׁם	שָׁם	שם	ADVERB												False	שָׁם	שָׁם
.	.			PUNCTUATION												False	.	.

אם	אִם	אִם	אם	CONJUNCTION												False	אִם	אִם
אתה	אַתָּה	אֲנִי	אני	PRONOUN		MASCULINE	SINGULAR	PERSON_2								False	אַתָּה	אַתָּה
הולך	הוֹלֵךְ	הלך	הלך	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_PAAL					False	הוֹלֵךְ	הוֹלֵךְ
ממני	מִמֶּנִּי	מִן	מין	PREPOSITION								ACCUSATIVENOMINATIVE	SUF_GENDER_MASCULINEFEMININE	SUF_NUMBER_SINGULAR	SUF_PERSON_1	False	מִמֶּנִּי	מִמֶּנִּי

אתה	אַתָּה	אֲנִי	אני	PRONOUN		MASCULINE	SINGULAR	PERSON_2								False	אַתָּה	אַתָּה
נשאר	נִשְׁאָר	שׁאר	שׁאר	VERB		MASCULINE	SINGULAR	PERSON_ANY		PRESENT	BINYAN_NIFAL					False	נִשְׁאָר	נִשְׁאָר
לבד	לְבַד	לְבַד	לבד	ADVERB												False	לְבַד	לְבַד
.	.			PUNCTUATION												False	.	.

ו|עכשיו	וְ|עַכְשָׁו	עַכְשָׁו	עכשיו	ADVERB	CONJUNCTION											False	וְעַכְשָׁו	עַכְשָׁו
כש|אין	כְּשֶׁ|אֵין	אֵין	אין	NEGATION												False	כְּשֶׁאֵין	אֵין
שמיים	שָׁמַיִם	שָׁמַיִם	שמיים	NOUN		MASCULINE	DUAL		ABSOLUTE							False	שָׁמַיִם	שָׁמַיִם

רק	רַק	רַק	רק	CONJUNCTION												False	רַק	רַק
רסיסים	רְסִיסִים	רְסִיס	רסיס	NOUN		MASCULINE	PLURAL		ABSOLUTE							False	רְסִיסִים	רְסִיסִים
של	שֶׁל	שֶׁל	של	SHEL_PREP												False	שֶׁל	שֶׁל
חוסר	חֹסֶר	חֹסֶר	חוסר	NOUN		MASCULINE	SINGULAR		CONSTRUCT							False	חֹסֶר	חֹסֶר
ה|בנות	הַ|בָּנוֹת	בָּן	בן	NOUN	DEFINITEARTICLE	FEMININE	PLURAL		ABSOLUTE							False	הַבָּנוֹת	בָּנוֹת

ו|נדמה	וְ|נִדְמֶה	דמי	דמי	VERB	CONJUNCTION	MASCULINEFEMININE	PLURAL	PERSON_1		FUTURE	BINYAN_PAAL					False	וְנִדְמֶה	נִדְמֶה
ש|אי	שֶׁ|אִי	אִי	אי	PREFIX	RELATIVIZIER_SUBORDINATINGCONJUNCTION											False	שֶׁאִי	אִי
אפשר	אֶפְשָׁר	אֶפְשָׁר	אפשר	MODAL												False	אֶפְשָׁר	אֶפְשָׁר
לראות	לִרְאוֹת	ראי	ראי	VERB						TOINFINITIVE	BINYAN_PAAL					False	לִרְאוֹת	לִרְאוֹת

ו|לא	וְ|לֹא	לֹא	לא	NEGATION	CONJUNCTION											False	וְלֹא	לֹא
נשאר	נִשְׁאַר	שׁאר	שׁאר	VERB		MASCULINE	SINGULAR	PERSON_3		PAST	BINYAN_NIFAL					False	נִשְׁאַר	נִשְׁאַר
מקום	מָקוֹם	מָקוֹם	מקום	NOUN		MASCULINE	SINGULAR		ABSOLUTE							False	מָקוֹם	מָקוֹם
ל|טעות	לַ|טָּעוּת	טָעוּת	טעות	NOUN	DEFINITEARTICLE+PREPOSITION	FEMININE	SINGULAR		ABSOLUTE							False	לַטָּעוּת	טָעוּת
.	.			PUNCTUATION												False	.	.

